time;x;y
2634.731563421829;184.5;140.5
2668.082595870206;198.5;141.5
2701.433628318584;215.5;149.5
2734.7846607669617;210.5;142.5
2768.135693215339;232.5;148.5
2801.4867256637167;229.5;147.5
2834.8377581120944;228.5;140.5
2868.1887905604717;238.5;148.5
2901.5398230088495;244.5;144.5
2934.890855457227;240.5;150.5
2968.2418879056045;245.5;145.5
3001.592920353982;246.5;145.5
3034.94395280236;258.5;138.5
3068.294985250737;262.5;132.5
3101.646017699115;274.5;146.5
3134.9970501474927;277.5;137.5
3168.34808259587;271.5;133.5
3201.6991150442477;279.5;153.5
3235.0501474926255;294.5;133.5
3268.4011799410027;287.5;139.5
3301.7522123893805;311.5;136.5
3335.103244837758;298.5;130.5
3368.4542772861355;304.5;134.5
3401.8053097345132;312.5;142.5
3435.156342182891;316.5;144.5
3468.5073746312682;323.5;135.5
3501.858407079646;329.5;134.5
3535.2094395280237;333.5;141.5
3568.560471976401;338.5;136.5
3601.9115044247787;338.5;129.5
3635.2625368731565;345.5;137.5
3668.6135693215338;350.5;133.5
3701.9646017699115;358.5;137.5
3735.315634218289;366.5;147.5
3768.6666666666665;376.5;142.5
3802.0176991150443;378.5;140.5
3835.3687315634215;374.5;143.5
3868.7197640117993;375.5;141.5
3902.070796460177;377.5;142.5
3935.4218289085543;387.5;142.5
3968.772861356932;393.5;157.5
4002.1238938053098;399.5;147.5
4035.474926253687;402.5;150.5
4068.825958702065;412.5;158.5
4102.1769911504425;419.5;153.5
4135.52802359882;422.5;164.5
4168.879056047197;416.5;163.5
4202.230088495575;428.5;162.5
4235.581120943953;427.5;169.5
4268.93215339233;441.5;169.5
4302.283185840708;442.5;167.5
4335.634218289086;444.5;166.5
4368.985250737463;453.5;171.5
4402.33628318584;455.5;188.5
4435.687315634218;455.5;181.5
4469.038348082596;465.5;187.5
4502.3893805309735;466.5;187.5
4535.740412979351;470.5;185.5
4569.091445427728;474.5;196.5
4602.442477876106;476.5;191.5
4635.793510324484;488.5;203.5
4669.144542772861;496.5;208.5
4702.495575221239;501.5;209.5
4735.846607669617;497.5;211.5
4769.197640117994;498.5;214.5
4802.548672566371;507.5;221.5
4835.899705014749;507.5;227.5
4869.250737463127;510.5;222.5
4902.601769911505;519.5;221.5
4935.952802359882;515.5;235.5
4969.303834808259;523.5;239.5
5002.654867256637;519.5;243.5
5036.005899705015;535.5;242.5
5069.356932153392;533.5;245.5
5102.70796460177;531.5;250.5
5136.058997050148;539.5;255.5
5169.410029498525;540.5;260.5
5202.761061946902;537.5;263.5
5236.11209439528;541.5;269.5
5269.463126843658;545.5;269.5
5302.814159292036;557.5;267.5
5336.165191740412;548.5;284.5
5369.51622418879;554.5;286.5
5402.867256637168;553.5;289.5
5436.218289085546;553.5;301.5
5469.569321533923;562.5;293.5
5502.920353982301;554.5;300.5
5536.271386430678;559.5;311.5
5569.622418879056;560.5;314.5
5602.973451327433;558.5;325.5
5636.324483775811;556.5;327.5
5669.675516224189;562.5;331.5
5703.026548672567;570.5;327.5
5736.377581120943;573.5;329.5
5769.728613569321;574.5;332.5
5803.079646017699;577.5;339.5
5836.430678466077;584.5;350.5
5869.781710914454;574.5;358.5
5903.132743362832;574.5;362.5
5936.483775811209;581.5;359.5
5969.834808259587;583.5;363.5
6003.185840707964;576.5;378.5
6036.536873156342;584.5;376.5
6069.88790560472;580.5;368.5
6103.238938053098;580.5;388.5
6136.589970501474;584.5;393.5
6169.941002949852;585.5;398.5
6203.29203539823;586.5;401.5
6236.643067846608;585.5;409.5
6269.994100294985;583.5;413.5
6303.345132743362;595.5;418.5
6336.69616519174;589.5;411.5
6370.047197640118;591.5;418.5
6403.398230088495;593.5;418.5
6436.749262536873;588.5;428.5
6470.100294985251;596.5;432.5
