time;x;y
2601.455223880597;131.5;215.5
2634.807213930348;148.5;215.5
2668.1592039800994;149.5;221.5
2701.5111940298507;150.5;220.5
2734.863184079602;148.5;210.5
2768.2151741293533;156.5;219.5
2801.5671641791046;163.5;213.5
2834.9191542288554;180.5;206.5
2868.2711442786067;175.5;223.5
2901.623134328358;171.5;203.5
2934.9751243781093;191.5;211.5
2968.3271144278606;192.5;198.5
3001.679104477612;195.5;201.5
3035.031094527363;190.5;208.5
3068.3830845771145;209.5;201.5
3101.7350746268658;213.5;206.5
3135.0870646766166;217.5;203.5
3168.439054726368;211.5;211.5
3201.791044776119;226.5;210.5
3235.1430348258705;232.5;190.5
3268.4950248756218;223.5;205.5
3301.847014925373;227.5;203.5
3335.1990049751244;249.5;203.5
3368.5509950248756;252.5;202.5
3401.902985074627;245.5;201.5
3435.254975124378;255.5;203.5
3468.606965174129;253.5;201.5
3501.9589552238804;261.5;207.5
3535.3109452736317;268.5;206.5
3568.662935323383;278.5;208.5
3602.0149253731342;279.5;195.5
3635.3669154228855;289.5;197.5
3668.718905472637;284.5;182.5
3702.070895522388;289.5;197.5
3735.422885572139;301.5;202.5
3768.7748756218903;298.5;186.5
3802.1268656716416;301.5;195.5
3835.478855721393;317.5;199.5
3868.830845771144;322.5;200.5
3902.1828358208954;316.5;202.5
3935.5348258706467;326.5;198.5
3968.886815920398;331.5;202.5
4002.2388059701493;336.5;204.5
4035.5907960199;344.5;196.5
4068.9427860696514;338.5;196.5
4102.294776119403;344.5;195.5
4135.646766169154;335.5;197.5
4168.998756218905;362.5;200.5
4202.350746268657;359.5;193.5
4235.702736318408;365.5;205.5
4269.054726368159;371.5;202.5
4302.4067164179105;380.5;196.5
4335.758706467662;390.5;195.5
4369.110696517413;390.5;207.5
4402.462686567164;403.5;205.5
4435.814676616916;402.5;214.5
4469.166666666666;410.5;217.5
4502.518656716417;411.5;218.5
4535.870646766169;422.5;214.5
4569.22263681592;410.5;206.5
4602.574626865671;439.5;215.5
4635.9266169154225;428.5;234.5
4669.278606965174;441.5;231.5
4702.630597014925;444.5;231.5
4735.982587064676;442.5;228.5
4769.334577114428;446.5;236.5
4802.686567164179;462.5;243.5
4836.03855721393;465.5;247.5
4869.390547263682;459.5;237.5
4902.742537313433;472.5;238.5
4936.094527363184;481.5;243.5
4969.4465174129355;478.5;248.5
5002.798507462687;479.5;260.5
5036.150497512438;483.5;266.5
5069.502487562188;489.5;265.5
5102.85447761194;482.5;266.5
5136.206467661691;492.5;274.5
5169.558457711442;498.5;285.5
5202.910447761194;505.5;283.5
5236.262437810945;504.5;284.5
5269.614427860696;508.5;286.5
5302.9664179104475;502.5;291.5
5336.318407960199;515.5;295.5
5369.67039800995;511.5;303.5
5403.022388059701;515.5;304.5
5436.374378109453;523.5;303.5
5469.726368159204;522.5;308.5
5503.078358208955;522.5;310.5
5536.4303482587065;525.5;309.5
5569.782338308458;520.5;316.5
5603.134328358209;523.5;315.5
5636.4863184079595;538.5;330.5
5669.838308457711;540.5;330.5
5703.190298507462;538.5;336.5
5736.542288557213;532.5;336.5
5769.894278606965;540.5;347.5
5803.246268656716;541.5;349.5
5836.598258706467;549.5;363.5
5869.950248756219;558.5;350.5
5903.30223880597;556.5;368.5
5936.654228855721;561.5;367.5
5970.006218905472;563.5;365.5
6003.358208955224;565.5;363.5
6036.710199004975;555.5;375.5
6070.062189054726;565.5;391.5
6103.414179104478;572.5;388.5
6136.766169154229;573.5;389.5
6170.11815920398;570.5;400.5
6203.4701492537315;591.5;391.5
6236.822139303482;590.5;398.5
6270.174129353233;584.5;414.5
